idid;nev;megye;jaras;kisterseg;nepesseg;terulet;iranyitoszam;miota_varos;tipus
1;Aba;Fejér;Székesfehérvári;Abai;4 428;88,05;8127;2013;város
2;Abádszalók;Jász-Nagykun-Szolnok;Kunhegyesi;Tiszafüredi;4 042;132,23;5241;2005;város
3;Abaújszántó;Borsod-Abaúj-Zemplén;Gönci;Abaúj-Hegyközi;2 906;47,39;3881;2004;város
4;Abony;Pest;Ceglédi;Ceglédi;14 277;127,97;2740;1993;város
5;Ács;Komárom-Esztergom;Komáromi;Komáromi;6 848;103,83;2941;2007;város
6;Adony;Fejér;Dunaújvárosi;Adonyi;3 880;61,05;2457;2004;város
7;Ajak;Szabolcs-Szatmár-Bereg;Kisvárdai;Kisvárdai;3 537;24,76;4524;2013;város
8;Ajka;Veszprém;Ajkai;Ajkai;27 736;95,05;8400;1959;járásszékhely város
9;Albertirsa;Pest;Ceglédi;Ceglédi;12 792;73;2730;2003;város
10;Alsózsolca;Borsod-Abaúj-Zemplén;Miskolci;Miskolci;5 619;26,02;3571;2007;város
11;Aszód;Pest;Aszódi;Aszódi;6 201;16,2;2170;1991;járásszékhely város
12;Bábolna;Komárom-Esztergom;Komáromi;Komáromi;3 860;33,55;2943;2003;város
13;Bácsalmás;Bács-Kiskun;Bácsalmási;Bácsalmási;6 379;108,32;6430;1986;járásszékhely város
14;Badacsonytomaj;Veszprém;Tapolcai;Tapolcai;2 067;32,71;8258;2004;város
15;Baja;Bács-Kiskun;Bajai;Bajai;34 495;177,89;6500;1500;járásszékhely város
16;Baktalórántháza;Szabolcs-Szatmár-Bereg;Baktalórántházi;Baktalórántházi;3 885;35,24;4561;1993;járásszékhely város
17;Balassagyarmat;Nógrád;Balassagyarmati;Balassagyarmati;14 705;23,33;2660;1923;járásszékhely város
18;Balatonalmádi;Veszprém;Balatonalmádi;Balatonalmádi;9 060;49,88;8220;1989;járásszékhely város
19;Balatonboglár;Somogy;Fonyódi;Fonyódi;5 456;32,04;8630;1991;város
20;Balatonföldvár;Somogy;Siófoki;Balatonföldvári;2 144;15,32;8623;1992;város
21;Balatonfüred;Veszprém;Balatonfüredi;Balatonfüredi;12 800;46,45;8230;1971;járásszékhely város
22;Balatonfűzfő;Veszprém;Balatonalmádi;Balatonalmádi;4 453;9,25;8175;2000;város
23;Balatonkenese;Veszprém;Balatonalmádi;Balatonalmádi;2 632;44,18;8172;2009;város
24;Balatonlelle;Somogy;Fonyódi;Fonyódi;5 198;43,23;8638;1991;város
25;Balkány;Szabolcs-Szatmár-Bereg;Nagykállói;Nagykállói;6 151;90;4233;2004;város
26;Balmazújváros;Hajdú-Bihar;Balmazújvárosi;Balmazújvárosi;17 026;205,44;4060;1989;járásszékhely város
27;Barcs;Somogy;Barcsi;Barcsi;10 293;122,9;7570;1978;járásszékhely város
28;Bátaszék;Tolna;Szekszárdi;Szekszárdi;6 072;63,57;7140;1995;város
29;Bátonyterenye;Nógrád;Bátonyterenyei;Bátonyterenyei;11 616;78,92;3070;1989;járásszékhely város
30;Battonya;Békés;Mezőkovácsházi;Mezőkovácsházi;5 516;145,71;5830;1989;város
31;Békés;Békés;Békési;Békési;18 322;127,23;5630;1973;járásszékhely város
32;Békéscsaba;Békés;Békéscsabai;Békéscsabai;58 996;193,93;5600;1918;megyeszékhely megyei jogú város
33;Bélapátfalva;Heves;Bélapátfalvai;Bélapátfalvai;2 931;36,63;3346;2004;járásszékhely város
34;Beled;Győr-Moson-Sopron;Kapuvári;Kapuvár-Beledi;2 553;26,47;9343;2009;város
35;Berettyóújfalu;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalui;14 614;171,01;4100;1978;járásszékhely város
36;Berhida;Veszprém;Várpalotai;Várpalotai;5 613;42,72;8181;2004;város
37;Besenyszög;Jász-Nagykun-Szolnok;Szolnoki;Szolnoki;3 217;138,08;5071;2013;város
38;Biatorbágy;Pest;Budakeszi;Budaörsi;13 889;44,12;2051;2007;város
39;Bicske;Fejér;Bicskei;Bicskei;11 497;77,08;2060;1986;járásszékhely város
40;Biharkeresztes;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalui;4 050;49,26;4110;1989;város
41;Bodajk;Fejér;Móri;Móri;3 987;28,98;8053;2008;város
42;Bóly;Baranya;Bólyi;Mohácsi;3 824;25,38;7754;1997;járásszékhely város
43;Bonyhád;Tolna;Bonyhádi;Bonyhádi;12 837;72,14;7150;1977;járásszékhely város
44;Borsodnádasd;Borsod-Abaúj-Zemplén;Ózdi;Ózdi;3 073;28,07;3671;2001;város
45;Budakalász;Pest;Szentendrei;Szentendrei;11 160;15,17;2011;2009;város
46;Budakeszi;Pest;Budakeszi;Budaörsi;14 624;37,1;2092;2000;járásszékhely város
